"pattern"	"genecount"	"genelen"	"nhits"	"sample"
"60"	"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation"	24	158	54085	"T9"
"61"	"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PAREF|RequiresSNPConfirmation"	2	164	54085	"T9"
"62"	"Drugs|Fluoroquinolones|Quinolone_active_efflux|QEPA"	10	187	54085	"T9"
"63"	"Drugs|Fosfomycin|Fosfomycin_target_mutation|GLPT|RequiresSNPConfirmation"	1	192	54085	"T9"
"64"	"Drugs|Fosfomycin|Fosfomycin_target_mutation|MURA|RequiresSNPConfirmation"	2	284	54085	"T9"
"65"	"Drugs|Fosfomycin|Fosfomycin_target_mutation|PTSL|RequiresSNPConfirmation"	1	262	54085	"T9"
"66"	"Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSA|RequiresSNPConfirmation"	3	158	54085	"T9"
"67"	"Drugs|Glycopeptides|Vancomycin-resistant_mutation|RPOC|RequiresSNPConfirmation"	4	194	54085	"T9"
"68"	"Drugs|Glycopeptides|VanI-type_resistance_protein|VANI"	1	264	54085	"T9"
"69"	"Drugs|Glycopeptides|VanM-type_resistance_protein|VANXM"	2	264	54085	"T9"
"70"	"Drugs|Glycopeptides|VanO-type_regulator|VANRO"	6	168	54085	"T9"
"71"	"Drugs|Lipopeptides|Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOBL|RequiresSNPConfirmation"	2	254	54085	"T9"
"72"	"Drugs|Lipopeptides|Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC|RPOCL|RequiresSNPConfirmation"	14	155	54085	"T9"
"73"	"Drugs|MLS|23S_rRNA_methyltransferases|CFR"	6	178	54085	"T9"
"74"	"Drugs|MLS|23S_rRNA_methyltransferases|ERMB"	54	205	54085	"T9"
"75"	"Drugs|MLS|23S_rRNA_methyltransferases|ERMF"	12	249	54085	"T9"
"76"	"Drugs|MLS|23S_rRNA_methyltransferases|ERMG"	5	193	54085	"T9"
"77"	"Drugs|MLS|23S_rRNA_methyltransferases|ERMT"	1	258	54085	"T9"
"78"	"Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUA"	76	150	54085	"T9"
"79"	"Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUC"	7	161	54085	"T9"
"80"	"Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation"	18612	150	54085	"T9"
"81"	"Drugs|MLS|MLS_resistance_ABC_efflux_pumps|LSA"	1	220	54085	"T9"
"82"	"Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRD"	2	173	54085	"T9"
"83"	"Drugs|MLS|MLS_resistance_ABC_efflux_pumps|OLEB"	12	167	54085	"T9"
"84"	"Drugs|MLS|MLS_resistance_ABC_efflux_pumps|OLEC"	53	156	54085	"T9"
"85"	"Drugs|MLS|MLS_resistance_ABC_efflux_pumps|TLRC"	16	160	54085	"T9"
"86"	"Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA"	288	157	54085	"T9"
"87"	"Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFE"	119	150	54085	"T9"
"88"	"Drugs|MLS|Streptogramin_A_O-acetyltransferase|VATF"	2	205	54085	"T9"
"89"	"Drugs|Multi-drug_resistance|MDR_23S_rRNA_mutation|MDR23S|RequiresSNPConfirmation"	467	150	54085	"T9"
"90"	"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|CARA"	4	232	54085	"T9"
"91"	"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MACB"	4	155	54085	"T9"
"92"	"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|SRMB"	25	168	54085	"T9"
"93"	"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|TLRCM"	19	155	54085	"T9"
"94"	"Drugs|Multi-drug_resistance|Multi-drug_MFS_efflux_pumps|IRFA"	1	276	54085	"T9"
"95"	"Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|MUXB"	111	150	54085	"T9"
"96"	"Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|MUXC"	134	151	54085	"T9"
"97"	"Drugs|Mupirocin|Mupirocin-resistant_isoleucyl-tRNA_synthetase|ILES"	1	273	54085	"T9"
"98"	"Drugs|Mupirocin|Mupirocin-resistant_isoleucyl-tRNA_synthetase|ILES|RequiresSNPConfirmation"	1	194	54085	"T9"
"99"	"Drugs|Mycobacterium_tuberculosis-specific_Drug|Isoniazid-resistant_mutant|KATG|RequiresSNPConfirmation"	4	192	54085	"T9"
"100"	"Drugs|Mycobacterium_tuberculosis-specific_Drug|Pyrazinamide-resistant_mutant|RPSA|RequiresSNPConfirmation"	24	150	54085	"T9"
"101"	"Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT"	58	158	54085	"T9"
"102"	"Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation"	1243	150	54085	"T9"
"103"	"Drugs|Pactamycin|Pactamycin-resistant_16S_ribosomal_subunit_protein|P16S|RequiresSNPConfirmation"	128	150	54085	"T9"
"104"	"Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation"	1	242	54085	"T9"
"105"	"Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR"	2	277	54085	"T9"
"106"	"Drugs|Phenicol|Phenicol-resistant_23S_rRNA_mutation|PH23S|RequiresSNPConfirmation"	269	150	54085	"T9"
"107"	"Drugs|Pleuromutilin|Pleuromutilin-resistant_23S_rRNA_mutation|P23S|RequiresSNPConfirmation"	508	150	54085	"T9"
"108"	"Drugs|Rifampin|Monooxygenase|IRI"	17	161	54085	"T9"
"109"	"Drugs|Rifampin|Monooxygenase|ROX"	15	185	54085	"T9"
"110"	"Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation"	1269	150	54085	"T9"
"111"	"Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation"	11	176	54085	"T9"
"112"	"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET33"	3	150	54085	"T9"
"113"	"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET45"	1	286	54085	"T9"
"114"	"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA"	12	178	54085	"T9"
"115"	"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL"	6	286	54085	"T9"
"116"	"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETZ"	2	152	54085	"T9"
"117"	"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32"	26	160	54085	"T9"
"118"	"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40"	40	155	54085	"T9"
"119"	"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM"	675	153	54085	"T9"
"120"	"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO"	1542	152	54085	"T9"
"121"	"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ"	358	151	54085	"T9"
"122"	"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETS"	17	153	54085	"T9"
"123"	"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW"	4009	152	54085	"T9"
"124"	"Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation"	2	178	54085	"T9"
"125"	"Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation"	1618	150	54085	"T9"
"126"	"Metals|Arsenic_resistance|Arsenic_resistance_protein|ARST"	5	189	54085	"T9"
"127"	"Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTB"	6	158	54085	"T9"
"128"	"Metals|Copper_resistance|Copper_resistance_protein|ACTPC"	56	150	54085	"T9"
"129"	"Metals|Copper_resistance|Copper_resistance_protein|COPA"	42	150	54085	"T9"
"130"	"Metals|Copper_resistance|Copper_resistance_protein|COPB"	6	155	54085	"T9"
"131"	"Metals|Copper_resistance|Copper_resistance_protein|COPF"	8	166	54085	"T9"
"132"	"Metals|Copper_resistance|Copper_resistance_protein|COPG"	2	159	54085	"T9"
"133"	"Metals|Copper_resistance|Copper_resistance_protein|CTPV"	36	150	54085	"T9"
"134"	"Metals|Copper_resistance|Copper_resistance_protein|CUTE"	1	284	54085	"T9"
"135"	"Metals|Copper_resistance|Copper_resistance_protein|CUTF"	2	187	54085	"T9"
"136"	"Metals|Copper_resistance|Copper_resistance_protein|CUTO"	4	212	54085	"T9"
"137"	"Metals|Copper_resistance|Copper_resistance_protein|DNAK"	54	153	54085	"T9"
"138"	"Metals|Copper_resistance|Copper_resistance_protein|TCRB"	2	202	54085	"T9"
"139"	"Metals|Copper_resistance|Copper_resistance_regulator|COMR"	2	164	54085	"T9"
"140"	"Metals|Copper_resistance|Copper_resistance_regulator|COPR"	7	157	54085	"T9"
"141"	"Metals|Copper_resistance|Copper_resistance_regulator|COPS"	6	156	54085	"T9"
"142"	"Metals|Iron_resistance|Iron_resistance_protein|ACN"	94	152	54085	"T9"
"143"	"Metals|Lead_resistance|Lead_P-type_ATPase_transporter|PBRA"	5	223	54085	"T9"
"144"	"Metals|Mercury_resistance|Mercury_resistance_protein|MERA"	59	161	54085	"T9"
"145"	"Metals|Mercury_resistance|Mercury_resistance_protein|MERE"	1	181	54085	"T9"
"146"	"Metals|Mercury_resistance|Mercury_resistance_regulator|MERR"	3	178	54085	"T9"
"147"	"Metals|Mercury_resistance|Mercury_resistance_regulator|MERR2"	1	178	54085	"T9"
"148"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CNRA"	34	172	54085	"T9"
"149"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|COPAM"	2	250	54085	"T9"
"150"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORA"	3	154	54085	"T9"
"151"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORC"	3	202	54085	"T9"
"152"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CTPC"	31	166	54085	"T9"
"153"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CUEA"	38	151	54085	"T9"
"154"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DMEF"	6	179	54085	"T9"
"155"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBC"	2	176	54085	"T9"
"156"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|FIEF"	1	289	54085	"T9"
"157"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|NCCA"	20	152	54085	"T9"
"158"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|NCZA"	34	155	54085	"T9"
"159"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|PITA"	1	278	54085	"T9"
"160"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RCNB"	1	285	54085	"T9"
"161"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RECGM"	26	156	54085	"T9"
"162"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ZNTA"	3	157	54085	"T9"
"163"	"Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|IRLR"	3	187	54085	"T9"
"164"	"Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|MGTA"	3	170	54085	"T9"
"165"	"Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|RCNR"	1	213	54085	"T9"
"166"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSB"	2	204	54085	"T9"
"167"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC"	4	196	54085	"T9"
"168"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSF"	2	196	54085	"T9"
"169"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZCA"	96	152	54085	"T9"
"170"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZCB"	30	165	54085	"T9"
"171"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZCE"	6	153	54085	"T9"
"172"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZCP"	44	157	54085	"T9"
"173"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZRA"	38	152	54085	"T9"
"174"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILP"	3	263	54085	"T9"
"175"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CUSR"	2	172	54085	"T9"
"176"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CUSS"	3	172	54085	"T9"
"177"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CZCC"	1	284	54085	"T9"
"178"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CZCCM"	32	153	54085	"T9"
"179"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CZCD"	6	150	54085	"T9"
"180"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CZCR"	14	160	54085	"T9"
"181"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CZCS"	44	152	54085	"T9"
"182"	"Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKA"	1	172	54085	"T9"
"183"	"Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKB"	2	166	54085	"T9"
"184"	"Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKC"	1	233	54085	"T9"
"185"	"Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKD"	2	179	54085	"T9"
"186"	"Metals|Sodium_resistance|Sodium_resistance_protein|CHAA"	1	187	54085	"T9"
"187"	"Metals|Zinc_resistance|Zinc_resistance_protein|ZITB"	1	166	54085	"T9"
"188"	"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ACTA"	10	181	54085	"T9"
"189"	"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ACTP"	61	158	54085	"T9"
"190"	"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|GLPF"	12	269	54085	"T9"
"191"	"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|RUVB"	10	152	54085	"T9"
"192"	"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YGIW"	1	187	54085	"T9"
"193"	"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YIEF"	1	207	54085	"T9"
"194"	"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YODB"	1	196	54085	"T9"
"195"	"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_regulator|ACTR"	1	209	54085	"T9"
"196"	"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD"	82	156	54085	"T9"
"197"	"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTB"	25	155	54085	"T9"
"198"	"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTC"	3	214	54085	"T9"
"199"	"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAES"	6	193	54085	"T9"
"200"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_regulator|SOXR"	5	167	54085	"T9"
"201"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|BEXA"	2	167	54085	"T9"
"202"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR"	9	175	54085	"T9"
"203"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRA"	2	222	54085	"T9"
"204"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRB"	2	222	54085	"T9"
"205"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRBSM"	2	187	54085	"T9"
"206"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRD"	6	195	54085	"T9"
"207"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|KPN"	1	222	54085	"T9"
"208"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTM"	2	150	54085	"T9"
"209"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS"	6	212	54085	"T9"
"210"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB"	8	211	54085	"T9"
"211"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF"	2	181	54085	"T9"
"212"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|AMRA"	1	200	54085	"T9"
"213"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|AMRB"	8	198	54085	"T9"
"214"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|AXY"	22	157	54085	"T9"
"215"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|BEPE"	14	157	54085	"T9"
"216"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|BEPG"	9	168	54085	"T9"
"217"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|CEOB"	92	151	54085	"T9"
"218"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|EMHC"	1	242	54085	"T9"
"219"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTE"	1	172	54085	"T9"
"220"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTF"	30	156	54085	"T9"
"221"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTO"	1	219	54085	"T9"
"222"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXB"	14	178	54085	"T9"
"223"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXD"	5	159	54085	"T9"
"224"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXF"	161	155	54085	"T9"
"225"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXI"	13	153	54085	"T9"
"226"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXK"	41	164	54085	"T9"
"227"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXN"	48	154	54085	"T9"
"228"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXQ"	48	161	54085	"T9"
"229"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXY"	10	186	54085	"T9"
"230"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB"	918	155	54085	"T9"
"231"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SDEB"	70	156	54085	"T9"
"232"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SDEX"	1	214	54085	"T9"
"233"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SDEY"	32	156	54085	"T9"
"234"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SME"	155	150	54085	"T9"
"235"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|TTGB"	18	173	54085	"T9"
"236"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR"	5	152	54085	"T9"
"237"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CRP"	1	212	54085	"T9"
"238"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADX"	1	276	54085	"T9"
"239"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARR"	1	221	54085	"T9"
"240"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACL"	3	204	54085	"T9"
"241"	"Biocides|Acid_resistance|Acid_resistance_protein|GADA"	8	290	908	"T60"
